section,SNo,Part OP code,Part Labor Description,HSN/SAC,Tax%,Qty,Rate/Unit,Disc Amt,Amount(Rs)
Part Invoice S8239G202628328,,F79IH001,1 LITER-PRE MIX,38200000,18%,40,247.46,0.00,98.99
Part Invoice S8239G202628328,,CSOQAPOOI,IL-BRAKE FLUID DOT,38190010,18%,20,805.08,0.00,161.02
Part Invoice S8239G202628328,,OSM9SSS/OO,25 g-GREASE-CALIPER GUI,34039900,18%,1.00,246.62,0.00,246.62
Part Invoice S8239G202628328,,NPNACDVAS,AC DISINFECTANT,34059090,18%,1.00,"1,621.18",0.00,"1,621.18"
Part Invoice S8239G202628328,,NPNBRKCLRSM,BRAKE PART CLEANER 3,38140010,18%,1.00,398.30,0.00,398.30
Part Invoice S8239G202628328,,NPNNEWEOIOCL,BS2 4 EOIL(PAD)SWSOACEAAB,27101980,18%,3.60,505.94,182.14,"1,639.24"
Part Invoice S8239G202628328,,NPNDISPOKIT,"DISPOSABLE KIT (SEAT,STG KNOB)",56031100,5%,2.00,38.10,0.00,76.19
Part Invoice S8239G202628328,,NPNDRYWASH,DRY WASH,34059090,18%,1.00,422.88,0.00,422.88
Part Invoice S8239G202628328,,NPNECSVAS,ENGINE CLEANING DRES SMALL,34059090,18%,1.00,498.30,0.00,498.30
Part Invoice S8239G202628328,10,971331S000,FILTER ASSY-AIR,87089900,18%,1.00,508.48,50.85,457.63
Part Invoice S8239G202628328,,2630002752,FILTER ASSY-ENGINE OIL,84212300,18%,1.00,94.92,9.49,85.43
Part Invoice S8239G202628328,12,ACF73IH043,FILTER PERFUME FRESH MARINE,33074900,18%,1.00,"253,38",0.00,253.38
Part Invoice S8239G202628328,13,13C7000,FILTER-AIR CLEANER,84213100,18%,1.00,261.86,26.19,235.67
Part Invoice S8239G202628328,14,2151323001,GASKET-OIL PLUG,84841010,18%,1.00,53.38,5.34,48.04
Part Invoice S8239G202628328,15,NPNSPLVAS,LUBRICATION,34059090,18%,92,"3,039.84",0.00,"2,796.65"
Part Invoice S8239G202628328,16,2151223001,(HINGEJOINTS BATTERY) PLUG-OIL DRAIN,39269099,18%,"1,00",288.98,28.90,260.08
Part Invoice S8239G202628328,7,NPNTRANSTOWSHE,SHELL GEAR OIL API GL4 70W,34039900,18%,20,905.08,0.00,181.02
Part Invoice S8239G202628328,18,LL,SONAX CLEAR VIEW 1;10O CONCENTRATE,34029012,18%,25,500.00,0.00,125.00
Labour ALOAASSZOOAO and Services Labour Invoice S82396202628327,,,BRAKE FLUID REPLACEMENT OR AIR BLEED,998729,18%,1.00,350.00,70.00,280.00
Labour ALOAASSZOOAO and Services Labour Invoice S82396202628327,2,AIOAABRZGFBOH,Both front Brake Overhaul,998729,18%,1.00,"1,192.00",238.40,953.60
Labour ALOAASSZOOAO and Services Labour Invoice S82396202628327,,AIOAABRZTRBOH,Both Rear Brake Overhaul Drum,Type 998729,18%,"1,0o","1,370.00",274.00,"1,096.00"
Labour ALOAASSZOOAO and Services Labour Invoice S82396202628327,,AIOAAGMOIPMSS,Periodic Maintenance Service ( PMS),998729,18%,"1,00","2,824.00",564.80,"2,259.20"
Labour ALOAASSZOOAO and Services Labour Invoice S82396202628327,5,AQAATBCOOSM,Throttle Body Cleaner,998729,18%,1.00,"499,00",0.00,499.00
Labour ALOAASSZOOAO and Services Labour Invoice S82396202628327,6,AIOAAWIRIALNA,Wiring Hamness Repairing,998729,18%,L00,300.00,0.00,300.00
